"","IncomeRange","OccGroup","N","BorrowerAPR","sd","se","ci"
"198","$50-75k","Social Worker",264,0.216273143939394,0.0751262441243921,0.00462370070047438,0.00910418215108812
"199","$50-75k","Student",11,0.203896363636364,0.0696145989391201,0.0209895913283759,0.0467677239260685
"200","$50-75k","Teacher",1600,0.217319925,0.0786295476727667,0.00196573869181917,0.00385569557379391
"201","$50-75k","Teacher's Aide",12,0.2086725,0.0955302734620145,0.0275772145495263,0.0606970399801707
"202","$50-75k","Tradesman",680,0.214965397058824,0.0742290185059363,0.00284655291752783,0.00558910385539248
"203","$50-75k","Truck Driver",654,0.222161360856269,0.0747830919840201,0.00292425030165746,0.00574206810925667
"204","$50-75k","Waiter/Waitress",37,0.225060540540541,0.0720319729913948,0.0118419834133922,0.0240166555204106
"205","$75-100k","None provided",97,0.183031443298969,0.0641897172448868,0.00651747832456072,0.0129370922249407
"206","$75-100k","Accountant",603,0.199941708126036,0.0800756938366629,0.00326093434082357,0.00640418949976116
"207","$75-100k","Admin Assistant",174,0.230391436781609,0.0800265109014299,0.00606679413488198,0.0119744643702274
"208","$75-100k","Analyst",951,0.195980094637224,0.0788819684264607,0.00255792308273641,0.0050198325850792
"209","$75-100k","Architect",41,0.169670975609756,0.0768853569870388,0.0120074754348143,0.0242680131010102
"210","$75-100k","Attorney",174,0.20420867816092,0.0849551675578033,0.00644043463174886,0.0127119452732436
"211","$75-100k","Biologist",20,0.2310035,0.0722549804712086,0.0161567048046542,0.0338163717961156
"212","$75-100k","Bus Driver",21,0.198575714285714,0.0484153098277217,0.0105650867657273,0.0220383848104996
"213","$75-100k","Car Dealer",27,0.201870740740741,0.066215583160434,0.0127431949207415,0.0261940123019486
"214","$75-100k","Chemist",36,0.200811666666667,0.0702263272772907,0.0117043878795484,0.0237611706295885
"215","$75-100k","Civil Service",309,0.205444077669903,0.073709686936343,0.00419319758435058,0.00825093813329463
"216","$75-100k","Clergy",29,0.221185862068966,0.100240212686371,0.0186141401937352,0.0381293377112252
"217","$75-100k","Clerical",58,0.222314137931034,0.0699664585564255,0.00918704609287185,0.0183967424738903
"218","$75-100k","Computer Programmer",1356,0.193347839233038,0.0819280240101387,0.00222485973145176,0.00436454354818742
"219","$75-100k","Construction",316,0.209615474683544,0.0725829068825436,0.0040831075173795,0.00803361012286689
"221","$75-100k","Doctor",37,0.224032702702703,0.0847032300528226,0.0139251252421767,0.0282414629665601
"222","$75-100k","Engineer",777,0.193858262548263,0.0814164591280633,0.00292079920150028,0.00573360397809013
"223","$75-100k","Executive",800,0.211487975,0.0777039791089303,0.00274725052765512,0.00539268097577639
"224","$75-100k","Fireman",108,0.213391111111111,0.0819767667945071,0.00788821806268397,0.0156374723077842
"225","$75-100k","Flight Attendant",14,0.226566428571429,0.0710788836550515,0.0189966307193978,0.0410397255845852
"226","$75-100k","Food Service",20,0.1923495,0.100024338431625,0.0223661220137558,0.046812831378622
"227","$75-100k","Food Service Management",131,0.210847099236641,0.0818862966321974,0.00715443895525,0.0141542018410334
"229","$75-100k","Investor",30,0.231075666666667,0.0978552431835195,0.0178658413539224,0.0365397483186824
"231","$75-100k","Laborer",77,0.224345974025974,0.0808057448983565,0.00920866926986715,0.0183406543560709
"232","$75-100k","Landscaping",19,0.226400526315789,0.0910537708947413,0.0208891676714991,0.043886512763343
"233","$75-100k","Medical Technician",112,0.20755375,0.0808167683644544,0.00763646681629495,0.0151321687846757
"234","$75-100k","Military",266,0.231687894736842,0.0855795326972707,0.00524721781514366,0.0103315424766309
"235","$75-100k","Nursing",763,0.209209200524246,0.0763672789655628,0.00276468112547584,0.00542729594154278
"236","$75-100k","Other",3306,0.212522707199032,0.0769573453667111,0.00133843921864681,0.0026242537182657
"237","$75-100k","Pharmacist",18,0.183572222222222,0.0560067098454499,0.0132009081078883,0.027851481567569
"238","$75-100k","Pilot",34,0.158572647058824,0.063900746157204,0.0109588875555111,0.0222960243747145
"239","$75-100k","Police Officer",365,0.217872082191781,0.0741170157536311,0.00387946191164462,0.00762897181480844
"240","$75-100k","Postal Service",66,0.22505303030303,0.0770979110156928,0.00949009681831355,0.0189530321101643
"241","$75-100k","Principal",128,0.20830203125,0.0741124485740204,0.00655067686962863,0.0129626073551472
"242","$75-100k","Professional",2987,0.210407378640777,0.0796275975035317,0.00145695454048436,0.0028567363865872
"243","$75-100k","Professor",130,0.197087230769231,0.0730431289396557,0.00640630619918024,0.0126750337149934
"244","$75-100k","Psychologist",34,0.188873529411765,0.0763679934099935,0.0130970028199863,0.0266460525879993
"245","$75-100k","Realtor",68,0.219905,0.0928412605858202,0.0112586565826715,0.0224723725941142
"246","$75-100k","Religious",12,0.24234,0.0835389066679277,0.0241156051262675,0.0530780890095447
"247","$75-100k","Retail Management",283,0.216560989399293,0.0743302247431362,0.00441847323069136,0.00869737528933794
"248","$75-100k","Sales",794,0.212524534005038,0.0798257763007326,0.00283291079622417,0.00556089055621117
